Nit;Fecha Corte;Duracion;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Ingresos financieros;Costos financieros;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
805006523;31/12/2016;2016;418480;0;418480;2152;16;207859;0;0;212757;0;1569;211188;34358;176830;0;176830
800057319;31/12/2016;2016;14985332;11882963;3102369;100144;0;2345323;1041077;0;-183887;0;0;-183887;0;-183887;0;-183887
890303736;31/12/2016;2016;1324191;0;1324191;244839;;633617;3740;;931673;;221694;709979;19053;690926;;690926
830052825;31/12/2016;2016;1995704;;1995704;312163;;1443882;10274;;853711;95017;22580;926148;296348;629800;;629800
816003624;31/12/2016;2016;6151354;5374735;776619;10797;226395;309248;26366;0;225407;227;98932;126702;39280;87422;;87422
900473830;31/12/2016;2016;663759295;662849073;910222;13021136;;6814209;5847168;;1269981;;55464;1214517;1109688;104829;;104829
800048670;31/12/2016;2016;3390871;1829265;1561606;42216;482040;806119;7400;0;308263;0;12807;295456;85694;209762;0;209762
860518629;31/12/2016;2016;62317543;53284548;9032995;2827908;7144005;1822273;226817;0;2667808;7861;0;2675669;945470;1730199;0;1730199
900453328;31/12/2016;2016;19323348;16587083;2736265;4146;799042;548543;25503;;1367323;;114263;1253060;516926;736134;;736134
800024224;31/12/2016;2016;3940635;2795109;1145526;129020;349926;694918;0;0;229702;0;98238;131464;50415;81049;0;81049
900155125;31/12/2016;2016;4908065;3891598;1016467;48894;30578;558229;7389;0;469165;;50952;418213;176044;242169;;242169
830045825;31/12/2016;2016;4182020;1553553;2628467;411992;264384;1261459;102158;;1412458;10710;1077777;345391;78907;266484;;266484
900204801;31/12/2016;2016;914522;1090667;-176145;642530;0;423017;918099;;-874731;;;-874731;268120;-1142851;;-1142851
900349430;31/12/2016;2016;13066808;10502894;2563914;506550;577269;841613;41912;;1609670;35148;826846;817972;284232;533740;;533740
900062594;31/12/2016;2016;3590643;2068391;1522252;76634;;915776;9396;;673714;;292856;380858;140477;240381;;240381
811047208;31/12/2016;2016;50498694;28652959;21845735;191110;9587915;2182030;522717;0;9744183;684959;1515739;8913403;3468886;5444517;0;5444517
830119426;31/12/2016;2016;1353910;;1353910;0;0;1319931;0;0;33979;145655;115309;64325;24909;39416;;39416
900166251;31/12/2016;2016;28052932;15075180;12977752;898207;9593019;600696;0;0;3682244;0;2193873;1488371;620282;868089;0;868089
860529323;31/12/2016;2016;16496138;10791283;5704855;12530;3594579;1622644;289510;;210652;56983;;267635;164944;102691;;102691
860053892;31/12/2016;2016;181777;0;181777;16546;;107219;3700;;87404;17402;18036;86770;35073;51697;9972;61669
900519434;31/12/2016;2016;183526;3149;180377;8383;515;36122;;;152123;8217;84974;75366;26673;48693;;48693
900084640;31/12/2016;2016;91818;163664;-71846;444380;;224441;79888;;68205;;;68205;29517;38688;;38688
830090229;31/12/2016;2016;2004579;1230682;773897;22695;424944;184853;103780;;83015;;;83015;28225;54790;;54790
800060420;31/12/2016;2016;2136398;1245864;890534;5942;161837;388717;129229;;216693;;;216693;;216693;;216693
900683923;31/12/2016;2016;0;0;0;0;;;;;0;;;0;;0;;0
900530630;31/12/2016;2016;7309868;8006209;-696341;89580;;1404371;;;-2011132;1020;62967;-2073079;2811;-2075890;;-2075890
860075824;31/12/2016;2016;2268670;2067878;200792;260267;0;290795;43136;;127128;0;0;127128;0;127128;-84938;42190
860034427;31/12/2016;2016;1086155;;1086155;530;;1102884;208702;;-224901;46808;;-178093;18259;-196352;;-196352
800198146;31/12/2016;2016;6934524;3963976;2970548;121140;1150143;1549523;77372;0;314650;0;0;314650;112420;202230;0;202230
800085328;31/12/2016;2016;2115415;820772;1294643;85399;0;304953;1073850;0;1239;237448;51894;186793;67007;119786;;119786
805011433;31/12/2016;2016;34463173;28906811;5556362;13303;0;4011364;256509;46555;1348347;0;414283;934064;207153;726911;0;726911
890403420;31/12/2016;2016;3066045;397352;2668693;97244;0;1627655;32627;0;1105655;;109799;995856;354493;641363;;641363
860506725;31/12/2016;2016;23978389;21705602;2272787;2182;99;1758592;24392;;491886;105974;274144;323716;140560;183156;89709;272865
811036722;31/12/2016;2016;672993;36874;636119;1;;126373;;;509747;;;509747;51125;458622;;458622
805004739;31/12/2016;2016;3254250;2641052;613198;8479;;390299;2747;;228631;4636;137987;95280;41715;53565;;53565
822005222;31/12/2016;2016;8460045;3449946;5010099;1333978;;2043961;1489770;;2810346;22229;2172369;660206;179657;480549;;480549
800081723;31/12/2016;2016;2326414;2001897;324517;0;69566;239494;;;15457;;57641;-42184;9037;-51221;;-51221
800026953;31/12/2016;2016;2877267;2393855;483412;17003;78252;309634;;;112529;12967;25263;100233;36369;63864;;63864
860032724;31/12/2016;2016;15854600;6531653;9322947;0;4971095;2422178;495222;60405;1494857;;42370;1452487;1250295;202192;;202192
807002024;31/12/2016;2016;298530;276625;21905;44627;9379;1067563;11935;;-1022345;12825;243209;-1252729;-61606;-1191123;;-1191123
830015820;31/12/2016;2016;9904264;7618397;2285867;1890;585487;732182;1342;;968746;49601;273343;745004;267220;477784;;477784
900677118;31/12/2016;2016;1926246;1305695;620551;1549919;803015;1023814;134059;0;209582;0;0;209582;96055;113527;0;113527
