NIT;FECHA CORTE;DURACION;(+/-) Ganancia (pérdida);(+/-) Ajustes por gastos por impuestos a las ganancias;( + ) Ajustes por gastos de depreciación y amortización;(+/-) Ajustes por deterioro de valor (reversiones de pérdidas por deterioro de valor) reconocidas en el resultado del periodo;(+) Ajustes por provisiones;(+) Ajustes por costos financieros;(+/-) Ajustes por pérdidas (ganancias) de moneda extranjera no realizadas;(+/-) Ajustes por pérdidas (ganancias) del valor razonable;(-) Ajustes por ganancias no distribuidas de asociadas;(+/-) Ajustes por pérdidas (ganancias) por la disposición de activos no corrientes;(+/-) Otros ajustes para conciliar la ganancia (pérdida);Total ajustes para conciliar la ganancia (pérdida);(+/-) Ajustes por disminuciones (incrementos) en los inventarios;(+/-) Ajustes por la disminución (incremento) de cuentas por cobrar de origen comercial;(+/-) Ajustes por disminuciones (incrementos) en otras cuentas por cobrar derivadas de las actividades de operación;(+/-) Ajustes por el incremento (disminución) de cuentas por pagar de origen comercial;(+/-) Ajustes por incrementos (disminuciones) en otras cuentas por pagar derivadas de las actividades de operación;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de operación;(+) Flujos de efectivo procedentes de la pérdida de control de subsidiarias u otros negocios;(-) Flujos de efectivo utilizados para obtener el control de subsidiarias u otros negocios;(+) Otros cobros por la venta de patrimonio o instrumentos de deuda de otras entidades;(-) Otros pagos para adquirir patrimonio o instrumentos de deuda de otras entidades;(+) Otros cobros por la venta de participaciones en negocios conjuntos;(-) Otros pagos para adquirir participaciones en negocios conjuntos;(+) Importes procedentes de la venta de propiedades, planta y equipo;(-) Compras de propiedades, planta y equipo;(+) Importes procedentes de ventas de activos intangibles;(-) Compras de activos intangibles;(+) Recursos por ventas de otros activos a largo plazo;(-) Compras de otros activos a largo plazo;(-) Pagos derivados de contratos de futuro, a término, de opciones y de permuta financiera;(+) Cobros procedentes de contratos de futuro, a término, de opciones y de permuta financiera;(+) Dividendos recibidos;(+) Intereses recibidos;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de inversión;(+) Importes procedentes de aumento de capital y/o recolocación de acciones;(-) Disminución de capital social y/o readquisición de acciones;(-) Pagos por otras participaciones en el patrimonio;(+) Importe procedente del aumento prima por emisión;(-) Disminución de prima por emisión;(+) Importes procedentes de préstamos;(-) Reembolsos de préstamos;(-) Pagos de pasivos por arrendamientos financieros;(-) Dividendos pagados;(-) Intereses pagados;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de financiación;Incremento (disminución) neto de efectivo y equivalentes al efectivo, antes del efecto de los cambios en la tasa de cambio;(+/-) Efectos de la variación en la tasa de cambio sobre el efectivo y equivalentes al efectivo;Incremento (disminución) neto de efectivo y equivalentes al efectivo;Efectivo y equivalentes al efectivo al principio del periodo;Efectivo y equivalentes al efectivo al final del periodo
860517174;31/12/2016;2016;99672;;106593;;;;;;;;;106593;;-94935;-113831;-64990;-20841;31049;-57283;;;;;;;;19050;;;;;;;;;;-19050;;;;;;;20777;;;;;-20777;-97110;;-97110;168453;71343
860517209;31/12/2016;2016;280676;29290;5935;0;0;0;0;0;0;0;0;35225;-469882;-1337086;764002;0;0;185697;-541368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;436278;0;0;0;0;0;436278;-105090;0;-105090;349517;244427
860517277;31/12/2016;2016;290606;;189290;;;;;;;;;189290;;438786;;;424182;-223268;1119596;0;;;;;;;;;;;;;;;;;0;;;;;;;;;1000000;;;-1000000;119596;;119596;1766611;1886207
860517343;31/12/2016;2016;245501;;45973;;;;;;;;;45973;1684889;-680022;0;-1329784;;;-33443;;;;;;;;555005;;;;0;;;;;;-555005;0;0;0;0;0;0;0;0;0;;27298;27298;-561150;0;-561150;826140;264990
860517423;31/12/2016;2016;968219;;719659;;15797;;;;;;;735456;;42720;38802;-34840;-107572;;1642785;;;;;;;;344110;;;;;;;;;;-344110;;;;;;15654;;;;;;15654;1314329;;1314329;7044511;8358840
860517438;31/12/2016;2016;308677;;70146;11570;120000;;;;;;;201716;425162;-296882;26126;-226615;-3577;;434607;;;;;;;104876;;2001;;;;;;;;;106877;;;;;;;276246;;;;;-276246;265238;;265238;216640;481878
860517461;31/12/2016;2016;37919;9616;213;;;;;;;;;9829;;-79960;57221;2092;-22100;1064;6065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6065;;6065;116342;122407
860517465;31/12/2016;2016;405376;120161;180713;;;;;;;;;300874;-25176;-721090;389755;-216928;13918;;146729;;;;;;;942494;465049;;;;;;;;;;477445;;;;;;2062206;2831559;;;;;-769353;-145179;;-145179;157947;12768
860517479;31/12/2016;2016;-2987868;185900;424484;14912;;;;;;586;;625882;15462;418093;134019;2514985;163652;;884225;;;;;;;;21687;;;;;;;;;;-21687;;;;;;;980682;;;;;-980682;-118144;;-118144;324605;206461
860517500;31/12/2016;2016;1031695;112550;234312;;;;;;;;;346862;-349221;-765181;359598;;;205372;829125;;;;;;;;1334228;;;;;;;;;-144380;-1478608;;;;;;;;;;;353551;353551;-295932;;-295932;409960;114028
860517522;31/12/2016;2016;5449696;395886;31653;;;;;;;;-5361997;-4934458;-94547;-1705822;-430909;627745;50962;;-1037333;;;;;;;;;;;;;;;;;;;;;;;;2762500;1750000;;;;;1012500;-24833;;-24833;1213865;1189032
860517718;31/12/2016;2016;565486;-242530;83023;;;;;;;;;-159507;3849;-160600;;7966;;121318;378512;;;;;;;;123012;;;;;;;;;-248;-123260;30750;;;;;;126615;;;;;-95865;159387;;159387;110077;269464
860517798;31/12/2016;2016;71138;-27277;5552;;18312;;;;;;;-3413;20204;-143080;-64699;98974;-19986;102;-40760;;;;;;;;1572;;;;;;;;;-1261;-2833;;;;;;;;;;;;;-43593;;-43593;316343;272750
860517948;31/12/2016;2016;1773027;0;47780;0;0;;;;;;;47780;-83087;1823720;;-2555730;;;1005710;;;;;;;;3088;;174302;;;;;;;;-177390;;;;;;;;17968;580000;;;-597968;230352;;230352;5512952;5743304
860517950;31/12/2016;2016;251525;;39980;;;;;;;;522;40502;-169720;36331;;-5032;;;153606;;;;;;;;5670;;;;;;;;;;-5670;;;;;;;;;;;;;147936;;147936;978981;1126917
860518029;31/12/2016;2016;11490;-72676;21678;;;;;-77219;;;-2440;-130657;-238;2434;240714;-15840;-15127;-275425;-182649;;;;;;;;22692;;;;;;;;;;-22692;;;;;;;;;;;;;-205341;;-205341;340137;134796
860518061;31/12/2016;2016;290561;;217;;;;;;;;;217;0;1094192;-1926999;;;;-542029;;;;1008000;;;736070;;;;;;;;;;;-271930;1000000;;;;;;131208;;660491;;;208301;-605658;;-605658;660208;54550
860518123;31/12/2016;2016;2564;;77310;;;;;;;;;77310;286376;-665711;662525;-531701;160455;;-8182;;;;;;;;;;;;;;;;;;;;;184802;250000;;;;;;;;65198;57016;;57016;80109;137125
860518131;31/12/2016;2016;233660;;442491;0;0;0;0;0;0;0;0;442491;-714966;2071275;429732;458107;0;0;2920299;0;0;0;0;0;0;0;1206031;0;0;0;0;0;0;0;0;0;-1206031;0;0;0;0;0;0;1310124;0;0;0;0;-1310124;404144;0;404144;169191;573335
860518132;31/12/2016;2016;6644;0;59306;0;0;0;0;0;0;0;0;59306;36680;8863;0;27694;4628;0;143815;0;0;0;0;0;0;0;42259;0;0;0;0;0;0;0;0;0;-42259;0;0;0;0;0;260013;337552;0;0;0;0;-77539;24017;0;24017;36907;60924
860518134;31/12/2016;2016;-35281;3795;14184;;;;;;;;;17979;53597;-59315;;132950;75668;;185598;;;;;;;;6448;;;;;;;;;;-6448;;;;;;;;;;;-107215;-107215;71935;;71935;26554;98489
860518141;31/12/2016;2016;-538374;3073;14589;;49862;;;;;;-2372;65152;;494987;-15921;-148784;-72009;;-214949;;;;;;;;1172;;;;;;;;;-1618;-2790;;;;;;;;;;;;;-217739;;-217739;527947;310208
860518299;31/12/2016;2016;2575128;1480924;188468;65665;67723;0;8879;0;0;0;0;1811659;-775179;2031934;-291068;-732601;0;-2924610;1695263;0;0;0;0;0;0;0;73612;0;2470;0;0;0;0;0;33919;0;-42163;0;0;0;0;0;1742845;3281720;39573;575469;173993;0;-2327910;-674810;0;-674810;1647701;972891
860518356;31/12/2016;2016;524259;;880866;;;979369;;;;;;1860235;327164;-1654913;-317574;-1004302;9037;403304;147210;;;;;;;;;;;;;;;;;;;;;;;;;;;;507663;23210;-484453;-337243;;-337243;1156936;819693
860518629;31/12/2016;2016;1730199;945471;43414;;29283;;;;;;;1018168;-483915;1224393;-146989;-483722;-80398;-1083521;1694215;;;;;;;;33743;;;;;;;;;-8034;-41777;;;;;;;;;1403580;;-2579;-1406159;246279;;246279;1026623;1272902
860518665;31/12/2016;2016;1829462;-394460;317079;-34081;0;;;;;;;-111462;964138;257619;;-434134;;41846;2547469;;;;;;;;513055;;89668;;;;;;;-2311914;-2914637;500000;;;;;1094975;913642;;500000;;;181333;-185835;;-185835;373569;187734
860518673;31/12/2016;2016;2232787;0;2779220;0;2171290;0;0;0;0;0;0;4950510;65946;-1028817;0;1197690;0;-3291179;4126937;0;0;0;0;0;0;0;3523451;0;0;0;0;0;0;0;0;-4288503;-7811954;0;0;0;0;0;7276191;0;0;3650000;0;0;3626191;-58826;0;-58826;231111;172285
860518754;31/12/2016;2016;88699;181911;38694;;;;;;;;;220605;;;;;;-751827;-442523;;;;;;;;0;;;;;;;;;-127010;-127010;;;;;;648353;;;;;;648353;78820;;78820;125975;204795
860518802;31/12/2016;2016;55493;50861;10957;10508;13502;;;;;;;;-494;-31550;-730;-158586;5302;-4082;;;;;;;;;5132;4692;;;;;;;;;;;;;;;;;;;;;;;;-58643;163308;104665
860518917;31/12/2016;2016;605847;;;;;;;;;;;;285437;-435172;;-199997;0;0;256115;;;;;;;0;2400;0;20807;;0;;;;;93176;69969;;;;;;;;;;;-5534;-5534;320550;;320550;113634;434184
860518994;31/12/2016;2016;844983;;320077;;;;;;;;;320077;-204629;-1914566;;1164381;;;210246;;;;;;;;857254;;;;;;;;;428114;-429140;;;;;;;;;;;;;-218894;;-218894;1682304;1463410
860519046;31/12/2016;2016;9355;;10250;;;;;;;;;10250;200363;254540;;-75208;-301326;404015;501989;;;;;;;2121;;;;;;;;;;;2121;;;;;;;553803;;;;;-553803;-49693;;-49693;62920;13227
860519093;31/12/2016;2016;103059;;112542;;;;;;;;;112542;198455;102890;;-231518;-6289;209;279348;;;;;;;;20091;;;;;;;;491;;-19600;;;;;;;;;;;;;259748;-50628;209120;99681;308801
860519143;31/12/2016;2016;11788;8549;8785;;;;;;;;;17334;6113;-32311;-23227;597;-27570;-2627;-49903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-49903;;-49903;;
860519556;31/12/2016;2016;5019590;2808827;77515;-952271;;;;;;248448;;2182519;;-1962603;;-4286970;-872616;-1071131;-991211;;;;;;;;;;;;;;;;;327573;327573;;;;;;2472732;;;2663544;;;-190812;-854450;;-854450;3145940;2291490
860519822;31/12/2016;2016;141738;;318401;9857;;;;;;;;328258;-16740;28652;615839;-179959;3275818;;4193606;;;;;;;;1414526;;;;3523833;;;;;;-4938359;33768;;;;;;;82487;;;;-48719;-793472;;-793472;1564858;771386
860519840;31/12/2016;2016;1519776;-265034;171283;;9427;;;;;;;-84324;-1609710;46382;;1249014;-123405;;997733;;;;;4192;;;116492;;;;;;;;;;-112300;;;;;;;;187683;575817;;;-763500;121933;;121933;155243;277176
860519920;31/12/2016;2016;1846715;876012;595936;-142478;0;0;-57684;0;0;0;-18637;1253149;1841410;-3115739;0;-4032315;378738;-876012;-2704054;0;0;0;0;0;0;0;200749;0;0;0;0;0;0;0;0;0;-200749;0;0;0;0;0;13737302;11432278;233437;300000;0;0;1771587;-1133216;0;-1133216;2242289;1109073
860519924;31/12/2016;2016;-156929;0;136359;0;0;0;0;0;0;0;0;136359;-167873;-28809;-14902;153245;102284;0;23375;0;0;0;0;0;0;71920;191432;0;0;0;0;0;0;0;0;0;-119512;0;0;0;0;0;96931;10999;0;0;0;0;85932;-10205;0;-10205;153841;143636
860520093;31/12/2016;2016;-27899;;64174;;15031;;;;;;;;8186;74849;74849;-73021;-89612;36666;;;;;;;;;95500;;;;;;;;8630;;;;;;;;;150000;;67623;;;;;;;;
860520125;31/12/2016;2016;65686;;;;;;;;;;;;10933;7649;0;0;43376;-14172;113472;;;;;;;;;;;;;;;;;;;;;;;;;8323;;93650;;;-101973;11499;;11499;14980;26479
860520243;31/12/2016;2016;4027239;;2050200;300859;;;;;;;;2351059;-5224161;-368268;-1841009;-3363005;4736604;-476079;-157620;;;;;;;;4131784;;47711;;;;;;;-861875;-5041370;;;;;;7793861;;;6594719;;-143305;1055837;-4143153;;-4143153;9759714;5616561
860520249;31/12/2016;2016;-905368;-238271;189980;31800;;828956;;;;;-97735;714730;;-136751;;750161;;-96368;326404;;;;;;;766290;38500;;;;;;;;;;727790;;;;;;;1033394;;;;;-1033394;20800;;20800;97981;118781
860520268;31/12/2016;2016;542732;225723;199697;;;;;;;-212590;;212830;169967;480255;-98498;-2389728;21798;-113241;-1173885;;;;;;;;564822;;;45000;;;;;;203377;-316445;;;;;;;;;;;;;-1490330;;-1490330;5564227;4073897
860520379;31/12/2016;2016;249681;;123191;;;;;;;;;123191;;-2191;;16288;23179;-557297;-147149;;;;;;;110645;;;;;;;;;;-129672;-19027;;;;;;;;;;;;;-166176;;-166176;197651;31475
860520391;31/12/2016;2016;468035;253273;;;;;;;;;;253273;120457;408030;;;;;1249795;;;;;;;;531167;;;;;;;;;;-531167;;;;;;;;;;;-563022;-563022;155606;;155606;985669;1141275
860520469;31/12/2016;2016;1115368;0;29910;0;0;0;0;0;0;0;0;29910;-556098;47187;219977;2003287;-58544;-1509503;1291584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66043;66043;0;0;0;0;0;0;0;0;0;0;130548;130548;1488175;0;1488175;386295;1874470
860520471;31/12/2016;2016;836625;47234;294668;;;;;;;;;341902;-92746;-365947;;-204873;-31660;16222;499523;;;;;;;;1157000;;;;;;;;;;-1157000;;;;;;758686;149810;;;;;608876;-48601;;-48601;178063;129462
860520474;31/12/2016;2016;96131;46618;98121;;;;21950;;;;;166689;-90916;295770;;-1802;-21374;6737;451235;;;;;;;;547770;;;;;;;;;;-547770;;;;;;580778;606640;;;79967;;-105829;-202364;;-202364;257659;55295
860520557;31/12/2016;2016;697356;362681;45285;;;-15262;-217186;;;;8336;183854;;-3061902;-68401;-61919;;-6629;-2317641;;;;;;;;36200;;;1500000;;;;;;111233;1575033;;;;;;2259835;;;;;-495331;1764504;1021896;;1021896;4271672;5293568
860520608;31/12/2016;2016;249180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860520782;31/12/2016;2016;64425;;;;;;;;;;;;-138584;230512;183332;11777;229546;-561851;19157;;;;;;;;94091;;;;;;;;;;-94091;;;;;;;;;;;;;-74934;;-74934;156659;81725
860520976;31/12/2016;2016;1104;48007;1038613;0;7739;0;0;0;0;-153666;0;940693;77433;-208265;0;-681690;-1030;-49765;78480;0;0;0;0;0;0;0;56927;0;0;0;0;0;0;0;0;0;-56927;0;0;0;0;0;0;0;0;0;0;-162715;-162715;-141162;0;-141162;181082;39920
860521079;31/12/2016;2016;1341186;728013;414490;0;;0;0;0;0;0;0;1142503;-615695;534532;-196552;5766;1847;51502;2265089;0;0;0;0;0;0;0;472598;0;0;0;0;;0;0;86799;;-385799;0;0;0;0;0;3246;2125515;72934;0;;0;-2195203;-315913;0;-315913;1761927;1446014
860521155;31/12/2016;2016;465952;;340700;;;;;;;;;340700;;-693661;-10016;57947;-17101;28776;172597;;;;;;;;264468;;;;;;;;;;-264468;;;;;;;;;;;;;-91871;;-91871;103284;11413
860521236;31/12/2016;2016;157928;0;522061;0;0;0;0;0;0;0;-1994;520067;-187365;-42381;-114716;-41168;403990;0;696355;0;0;0;0;0;0;0;960748;0;0;0;0;0;0;0;0;0;-960748;0;0;0;0;0;484032;0;0;0;0;0;484032;219639;0;219639;85035;304674
860521275;31/12/2016;2016;721632;;207039;;;;;;;;20184;227223;;-585187;;;-1242547;;-878879;;;;;;;;;;;;;;;;;95000;95000;;;;;;;;;;;;;-783879;;-783879;1191833;407954
860521299;31/12/2016;2016;-402953;81302;467036;;;;;;;;;548338;-9056;1140093;;-1269344;;426151;433229;;;;;;;;31375;;;;;;;;;-273207;-304582;;;;;;;200556;;;;;-200556;-71909;;-71909;174042;102133
860521374;31/12/2016;2016;1509116;-170562;140326;;;;;;;;;-30236;;-355009;;-1868617;2227;818964;76445;;;;;;;;10775;;;;673948;;;;;;-684723;;;;;;;;;;;480000;480000;-128278;;-128278;173467;45189
860521457;31/12/2016;2016;-278412;-26147;41798;;20459;;;;;;-5928;30182;-372269;-302087;-67636;1726250;;;736028;;;;;;;59782;154581;;16518;;;;;;;;-111317;;;;;;;56468;;;;;-56468;568243;55872;624115;;
860521517;31/12/2016;2016;13113;51680;331205;;;395608;;;;;;778493;-99915;414339;;-254088;-237882;;614060;;;;;;;;52556;;;;;;;;;;-52556;;;;;;;;;;;-520582;-520582;40922;0;40922;18555;59477
860521541;31/12/2016;2016;-1581;;6872;;;;;;;;;6872;;-13441;22712;5901;;;20463;;;;;;;1000;600;;;;;;;;;;400;;;;;;;;;;;;;20863;;20863;1096;21959
860521637;31/12/2016;2016;3385792;-343729;764058;0;0;0;0;-1287592;0;0;0;-867263;-9684192;-18179090;0;7399164;0;0;-17945589;0;0;0;0;0;0;15890000;5656281;0;0;0;0;0;0;0;0;0;10233719;0;0;0;0;0;6404550;0;0;0;0;0;6404550;-1307320;0;-1307320;1962888;655568
860521638;31/12/2016;2016;123;;3110;;991;;;;;;;4101;;12809;;1187;;-13255;4965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-46564;-46564;-41599;;-41599;43654;2055
860521986;31/12/2016;2016;-2156607;63686;742156;;;;80998;;;;-15491;871349;-240298;439002;-35098;1322664;-195816;1827;7023;;;;;;;;10101;;;;;;;;;;-10101;;;;;;480000;500232;;;;-27464;-47696;-50774;;-50774;140689;89915
860522062;31/12/2016;2016;15294;;1139;;;;;;;;;1139;;-68341;-646;-32021;885;-1968;-85658;;;;;;;;;;;;;;;;;;;;;;;;31111;;;;;;31111;-54547;;-54547;83230;28683
860522063;31/12/2016;2016;440590;;33294;;;;;;;;;33294;-300069;53834;3612;743786;-50259;;924788;;;;;;;199695;131408;;;;729923;;;;;;-661636;;;;;;;;;1000000;71307;;-1071307;-808155;;-808155;1501410;693255
860522083;31/12/2016;2016;344423;35890;432304;;;;;;;-27260;;440934;-856497;-284844;-612321;1285724;133490;;450909;;;;;;;;2700309;2564;;;;;;;;;-2697745;266983;;;;;1793717;;;167056;;;1893644;-353192;;-353192;594540;241348
860522213;31/12/2016;2016;580510;603022;1528411;122072;;;;;;;;2253505;38790;-2427031;-542062;-1485038;-463634;;-2044960;;;;;;;;371158;;2458;9526;;;;;;;-364090;;;;;;2144085;;;;;;2144085;-264965;;-264965;756194;491229
860522243;31/12/2016;2016;2369237;0;22911;0;0;0;0;0;0;0;0;22911;23208;409927;0;0;0;0;2825283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;846533;0;0;-846533;1978750;0;1978750;4484081;6462831
860522257;31/12/2016;2016;2259222;-4039;123709;;;;;;;;;119670;;;;;;;2378892;;;;;;;;;;;;;;;;;;;;;;;1699375;;;;;;;-1699375;679517;;679517;4562063;5241580
860522302;31/12/2016;2016;104429;0;0;0;0;0;0;0;0;0;0;0;-220000;-181297;0;96831;0;0;-200037;0;0;0;0;0;0;0;278003;0;0;0;0;0;0;0;0;0;-278003;0;0;0;0;0;478049;0;0;0;0;239548;717597;239557;0;239557;127244;366801
860522351;31/12/2016;2016;168327;127042;243364;;;;;;;;;370406;-82518;-120160;-8060;152697;116083;;596775;;;;;;;;908406;;;;;;;;;-1506;-909912;;;;;;;;;;;;;-313137;;-313137;905185;592048
860522372;31/12/2016;2016;95015;34264;16404;;;;;;;;;50668;29788;-46489;;-43110;;94953;180825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-124761;-124761;56064;;56064;128110;184174
860522381;31/12/2016;2016;2216924;1276473;1292692;;;;;;;4553;;2573718;-2657025;-2500093;-2536503;2710294;966607;0;773922;;;;;;;;928610;;423195;2796;;;;;;;-1349009;;;;;;923693;;;738517;;;185176;-389911;;-389911;1230318;840407
860522445;31/12/2016;2016;-11535;;9488;;414;;;;;;;9902;-2850;-96;-3803;6829;7059;3105;8607;;;;;;;;10019;;;;;;;;2;134;-9883;;;;;;;;;;;;;-1276;;-1276;15413;14137
860522611;31/12/2016;2016;151762;;14418;;;;;;;;;14418;-28828;-101264;;62377;25131;101;123697;;;;;;;;;;;;;;;;;;;;;;;;4491;;;158621;;;-154130;-30433;;-30433;161277;130844
860522801;31/12/2016;2016;-4669134;0;71235;0;0;0;0;0;0;0;0;71235;0;-2496958;443391;7747580;224102;0;1320216;0;0;0;0;0;0;0;3958;0;0;0;0;0;0;0;0;0;-3958;0;0;0;0;0;0;0;0;0;0;0;0;1316258;0;1316258;197287;1513545
860522931;31/12/2016;2016;1672608;;301477;;;;;;;;;301477;-700339;768947;;661045;61990;-25361;2740367;;;;;;;;1409896;;;;;;;;;;-1409896;;;;;;151278;;;632223;;;-480945;849526;;849526;3281174;4130700
860523018;31/12/2016;2016;52295;;52950;;;;;;;;-75767;-22817;-66936;38311;;218796;-5468;;214181;;;;;;;;3000;;;;;;;;;;-3000;;;;;;;;;;;;;211181;;211181;233505;444686
860523146;31/12/2016;2016;51931;33799;19794;0;0;2;0;0;0;-18129;0;35466;157586;-340146;0;;1829681;-649290;1085228;0;0;0;0;0;0;;941762;0;0;0;0;0;0;0;0;0;-941762;0;0;0;0;0;0;0;0;0;0;0;0;143466;0;143466;48012;191478
860523285;31/12/2016;2016;-436690;0;49494;50819;0;0;0;0;0;0;0;100313;-186070;45411;0;-338520;0;0;-815556;0;0;0;0;0;0;0;0;0;0;533184;0;0;0;0;0;0;533184;0;0;0;0;0;0;0;0;0;0;164051;164051;-118321;0;-118321;145592;27271
860523376;31/12/2016;2016;140105;;;;;;;;;;;;-755322;-106375;0;672331;0;354794;305533;;;;;;;;;;;;;;;;;-230903;-230903;;;;;;96354;;;206691;;16281;-94056;-19426;;-19426;1947998;1928572
860523743;31/12/2016;2016;847962;;173785;;410483;;;;;;;584268;1122522;-1876579;;-445116;;;233057;;;;;;;;273163;;;;;;;;;;-273163;;;;;;;;;;59498;;-59498;-99604;;-99604;322084;222480
860523790;31/12/2016;2016;24116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860523923;31/12/2016;2016;148933;;464298;;;;;;;;90380;554678;;-63584;;-16301;;1233894;1857620;;;;1213656;;;;21920;;;;;;;;;118714;-1116862;;;;;;90058;224272;;156680;;-395410;-686304;54454;;54454;46371;100825
860523957;31/12/2016;2016;-180184;8164;0;0;0;0;0;0;0;0;0;8164;-102892;0;48064;0;-2315;3589;-225574;0;0;0;0;0;0;0;155675;0;0;0;0;0;0;0;0;0;-155675;0;0;0;0;0;200000;0;0;0;0;-18679;181321;-199928;0;-199928;273565;73637
860524126;31/12/2016;2016;527678;;;;;;;;;;;;486684;;;;;;1014362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1014362;;1014362;;
860524216;31/12/2016;2016;114638;72643;58376;-382;;;;;;;;130637;-21830;133934;;-39995;-142460;;174924;;;;;;;;3132;;;;;;;;;;-3132;;;;;;;;;320000;;;-320000;-148208;;-148208;367262;219054
860524282;31/12/2016;2016;3512850;-1051437;164579;;;;;;;;-39467;-926325;766733;-493163;;-140723;-629030;;2090342;;;;;;;;74595;62685;4458;;;;;;;;-16368;;;;;;;;;1740174;;1952;-1738222;335752;;335752;1695425;2031177
860524523;31/12/2016;2016;802678;375661;127437;;33715;;;;;;;536813;-114219;-308188;;1281084;42442;-918663;1321947;;;;;;;;22286;;;;;;;;;45285;22999;;;;;;;2055627;;300000;;1000000;-1355627;-10681;;-10681;50916;40235
860524545;31/12/2016;2016;147732;;53426;;61435;;;;6257;;67730;176334;181774;-141870;;-109956;25403;-155848;123569;;;;;;;;11847;;;;;;;;;;-11847;;;;;;;;;;111739;;-111739;-17;;-17;13260;13243
860524760;31/12/2016;2016;47454;;39265;;;;;;;;;39265;;-103198;12582;53472;9023;;58598;;;;;;;;7966;;;;;;;;;;-7966;;;;;;;12936;;;;;-12936;37696;;37696;14449;52145
860524942;31/12/2016;2016;-2597;101327;1287440;;;2021462;;;;;;3410229;5872;2001048;;;;;5414552;;;5779;;738568;;;414;396000;;;;;;;;;1139933;;;;;;;;;;;-6231475;-6231475;323010;;;;
860524955;31/12/2016;2016;715802;-65289;;;;;;;;;-147568;-212857;-982300;-233150;;-200342;276355;44689;-591803;;;;;;;;559509;;;;;;;;;;-559509;;;;;;1515463;;;150000;;-92277;1273186;121874;;121874;311155;433029
860525055;31/12/2016;2016;1754879;989390;52142;0;0;0;0;0;0;0;7253;1048785;0;99552;16202;25657;-1297057;0;1648018;0;0;0;0;0;0;0;60476;0;0;0;0;0;0;0;0;0;-60476;0;0;0;0;0;34120;0;0;1870000;0;5535;-1830345;-242803;0;-242803;617463;374660
860525475;31/12/2016;2016;148075;89117;162824;;;;;;;;;251941;18681;-6256;85410;128719;-3195;-142488;480887;;;;;;;;6509;;;;;;;;;-316398;-322907;;;;;;;;;;;;;157980;;157980;160370;318350
860525526;31/12/2016;2016;101755;69711;20704;;;;;;;;-8074;82341;-32522;30633;;35850;;;218057;;;;;;;;;;;;41;;;;;;-41;;;;;;379037;450874;;36000;;;-107837;110179;;110179;16583;126762
860525622;31/12/2016;2016;-293814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860525661;31/12/2016;2016;301598;;118416;;181900;;;;;;-49639;250677;-586801;406052;-238365;;105216;;238377;;;;;;;;13164;;;;;;;;;-99012;-112176;;;;;;358742;;;343375;;-117207;-101840;24361;;24361;264126;288487
860525678;31/12/2016;2016;359830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860525721;31/12/2016;2016;274619;142846;6566;;;;;;;;;149412;;-96500;7362;666650;-28691;-43428;929424;;;;114893;;;;835733;;849;;;;;;;;-951475;;;;;;;;;;;;;-22051;;-22051;53850;31799
860525726;31/12/2016;2016;-2657162;;;;;;;;;;;;-583923;-593844;-260152;1622778;4353395;2606109;4487201;;;;;;;;;0;;;;;;;;;0;;;;;;;;0;;;-4617277;-4617277;-130076;;-130076;563643;433567
860525732;31/12/2016;2016;123978;-2034;;0;0;-5970;0;0;0;0;0;-8004;-34694;-80421;-39457;-24521;0;0;-63119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-63119;;-63119;107761;44642
860526097;31/12/2016;2016;106562;;176461;;;;;;;;;176461;-273564;-206335;;247670;-107140;;-56346;;;;;;;;366667;;;;;;;;;;-366667;;;;;;360914;;;;;;360914;-62099;;-62099;578239;516140
860526117;31/12/2016;2016;28204;2365;38113;;;;;;;;;40478;;;;;;;68682;;;;;;;;;;;;;;;;;;;;;;;;;42585;;;;;-42585;26097;;26097;345;26442
860526214;31/12/2016;2016;317805;245941;65218;2529;65000;;;-7000;;;;371688;2215818;-1009806;;99029;-2515128;;-520594;;;;;;;;125790;;;;;;;;;;-125790;;;;;;987957;;;255000;;;732957;86573;;86573;;
