Nit;Fecha Corte;Duracion;Ganancia (pérdida);Otro resultado integral, neto de impuestos, ganancias (pérdidas) por revaluación;Total otro resultado integral que no se reclasificará al resultado del periodo, neto de impuestos;Total otro resultado integral;Resultado integral total;Otro resultado integral, neto de impuestos, diferencias de cambio por conversión;Otro resultado integral, neto de impuestos, ganancias (pérdidas) actuariales por planes de beneficios definidos;Ganancias (pérdidas) por coberturas de flujos de efectivo, neto de impuestos;Total otro resultado integral que se reclasificará al resultado del periodo, neto de impuestos
800013536;31/12/2016;2016;-1155267;;;;-1155267;;;;
800013617;31/12/2016;2016;210622;;;;;;;;
800013829;31/12/2016;2016;-526460;;;;;;;;
800013944;31/12/2016;2016;356933;;;;356933;;;;
800014096;31/12/2016;2016;154662;;;;154662;;;;
800014107;31/12/2016;2016;530489;0;0;0;530489;0;0;0;0
800014246;31/12/2016;2016;-3420373;8341379;8341379;8341379;4921006;0;0;0;0
800014338;31/12/2016;2016;2334397;;;;;;;;
800014499;31/12/2016;2016;488800;;;;;;;;
800014574;31/12/2016;2016;592399;;30276;30276;622675;30276;;;
800014620;31/12/2016;2016;242230;;;;;;;;
800015311;31/12/2016;2016;-44012;;;;-44012;;;;
800015583;31/12/2016;2016;4341493;124347;124347;124347;4465840;;;;
800015603;31/12/2016;2016;124455;;;;;;;;
800015774;31/12/2016;2016;46221;0;0;0;46221;0;0;0;0
800015821;31/12/2016;2016;169798;;;;169798;;;;
800015963;31/12/2016;2016;204812;0;0;0;204812;0;0;0;0
800015996;31/12/2016;2016;-4504968;;;;;;;;
800016011;31/12/2016;2016;-4180986;;;;;;;;
800016116;31/12/2016;2016;42356;0;38287;38287;80643;38287;0;0;0
800016281;31/12/2016;2016;2435015;;;;;;;;
800016289;31/12/2016;2016;105126;;;;105126;;;;
800016459;31/12/2016;2016;15262;;;;;;;;
800016636;31/12/2016;2016;-120804;;;;;;;;
800016920;31/12/2016;2016;43689;;;;43689;;;;
800017180;31/12/2016;2016;394215;213510;213510;213510;607725;0;0;0;0
800017555;31/12/2016;2016;-500066;;;;;;;;
800017765;31/12/2016;2016;113046;;;;;;;;
800017779;31/12/2016;2016;2899032;;;;2899032;;;;
800017873;31/12/2016;2016;299591;0;0;0;299591;0;0;0;0
800018138;31/12/2016;2016;-43974;;56338;56338;12364;56338;;;
800018143;31/12/2016;2016;25159;;;;;;;;
800018181;31/12/2016;2016;8553230;;;;;;;;
800018488;31/12/2016;2016;3262394;;;;;;;;
800018771;31/12/2016;2016;682287;;;;;;;;
800018856;31/12/2016;2016;1150786;;;;;;;;
800019102;31/12/2016;2016;262500;;;;;;;;
800019572;31/12/2016;2016;635089;;;;635089;;;;
800019961;31/12/2016;2016;2362350;;;;;;;;
800019962;31/12/2016;2016;5269096;;;;;;;;
800020023;31/12/2016;2016;5165185;;;;;;;;
800020070;31/12/2016;2016;-5841365;;;;;;;;
800020256;31/12/2016;2016;189779;;;;;;;;
800020280;31/12/2016;2016;46783;;;;;;;;
800020419;31/12/2016;2016;510645;;;;;;;;
800020639;31/12/2016;2016;338240;;;;;;;;
800020662;31/12/2016;2016;889270;;;;;;;;
800020719;31/12/2016;2016;150141;;;;;;;;
800020751;31/12/2016;2016;-1227625;;;;;;;;
800020817;31/12/2016;2016;4494905;;;;;;;;
800021069;31/12/2016;2016;-2017516;;;;;;;;
800021210;31/12/2016;2016;96060;0;0;0;96060;0;0;0;0
800021261;31/12/2016;2016;371553;0;0;0;371553;0;0;0;0
800021415;31/12/2016;2016;44778;;;;44778;;;;
800021417;31/12/2016;2016;97427;;;;;;;;
800021499;31/12/2016;2016;1197586;0;0;0;1197586;0;0;0;0
800021565;31/12/2016;2016;-8661;;;;;;;;
800021596;31/12/2016;2016;3463365;47345211;47345211;47345211;50808576;0;;;
800021622;31/12/2016;2016;537958;;;;;;;;
800021637;31/12/2016;2016;398509;;;;398509;;;;
800021709;31/12/2016;2016;-19817;;;;;;;;
800021711;31/12/2016;2016;7550;0;0;0;7550;0;0;0;0
800022001;31/12/2016;2016;-5692288;;;;;;;;
800022002;31/12/2016;2016;-6707116;;;;;;;;
800022004;31/12/2016;2016;-2571075;;;;;;;;
800022076;31/12/2016;2016;239875;;;;;;;;
800022115;31/12/2016;2016;665280;;;;;;;;
800022199;31/12/2016;2016;7264;;;;;;;;
800022450;31/12/2016;2016;5255402;;;;;;;;
800022475;31/12/2016;2016;-196995;0;0;0;-196995;0;0;0;0
800022737;31/12/2016;2016;463311;0;0;0;463311;0;0;0;0
800022853;31/12/2016;2016;605661;;;;605661;;;;
800022862;31/12/2016;2016;125267;0;0;0;125267;0;0;0;0
800022961;31/12/2016;2016;131124;-13542;-13542;-13542;117582;0;0;0;0
800023002;31/12/2016;2016;325174;;;;;;;;
800023016;31/12/2016;2016;-169691;;;;;;;;
800023162;31/12/2016;2016;1860494;0;0;0;1860494;0;0;0;0
800023432;31/12/2016;2016;207336;0;0;0;207336;0;0;0;0
800023533;31/12/2016;2016;215169;;;;;;;;
800023643;31/12/2016;2016;177526;0;0;0;177526;0;0;;
800023789;31/12/2016;2016;103450;0;0;0;103450;0;0;0;0
800023807;31/12/2016;2016;1576519;0;0;0;1576519;0;0;0;0
800024005;31/12/2016;2016;54524;;;;;;;;
800024053;31/12/2016;2016;56489;;;;56489;;;;
800024095;31/12/2016;2016;1154912;;;;;;;;
